Date/Time,Active Energy (kcal),Source
2023-09-12 07:36:00,0.293,Lesley’s Apple Watch
2023-09-12 07:37:00,0.07,Lesley’s Apple Watch
2023-09-12 07:38:00,1.12,Lesley’s Apple Watch
2023-09-12 07:39:00,0.499,Lesley’s Apple Watch
2023-09-12 07:40:00,0.405,Lesley’s Apple Watch
2023-09-12 07:41:00,0.31,Lesley’s Apple Watch
2023-09-12 07:42:00,0.294,Lesley’s Apple Watch
2023-09-12 07:43:00,0.307,Lesley’s Apple Watch
2023-09-12 07:44:00,0.551,Lesley’s Apple Watch
2023-09-12 07:45:00,0.701,Lesley’s Apple Watch
2023-09-12 07:46:00,0.456,Lesley’s Apple Watch
2023-09-12 07:47:00,0.453,Lesley’s Apple Watch
2023-09-12 07:48:00,0.259,Lesley’s Apple Watch
2023-09-12 07:49:00,0.395,Lesley’s Apple Watch
2023-09-12 07:50:00,0.726,Lesley’s Apple Watch
2023-09-12 07:51:00,0.985,Lesley’s Apple Watch
2023-09-12 07:52:00,2.23,Lesley’s Apple Watch
2023-09-12 07:53:00,0.838,Lesley’s Apple Watch
2023-09-12 07:54:00,2.26,Lesley’s Apple Watch
2023-09-12 07:55:00,2.43,Lesley’s Apple Watch
2023-09-12 07:56:00,2.56,Lesley’s Apple Watch
2023-09-12 07:57:00,2.09,Lesley’s Apple Watch
2023-09-12 07:58:00,2.37,Lesley’s Apple Watch
2023-09-12 07:59:00,3.23,Lesley’s Apple Watch
2023-09-12 08:00:00,2.86,Lesley’s Apple Watch
2023-09-12 08:01:00,2.57,Lesley’s Apple Watch
2023-09-12 08:02:00,2.64,Lesley’s Apple Watch
2023-09-12 08:03:00,2.72,Lesley’s Apple Watch
2023-09-12 08:04:00,3.08,Lesley’s Apple Watch
2023-09-12 08:05:00,3.76,Lesley’s Apple Watch
2023-09-12 08:06:00,3.69,Lesley’s Apple Watch
2023-09-12 08:07:00,3.77,Lesley’s Apple Watch
2023-09-12 08:08:00,2.88,Lesley’s Apple Watch
2023-09-12 08:09:00,0.819,Lesley’s Apple Watch
2023-09-12 08:10:00,0.819,Lesley’s Apple Watch
2023-09-12 08:11:00,0.819,Lesley’s Apple Watch
2023-09-12 08:12:00,0.806,Lesley’s Apple Watch
2023-09-12 08:13:00,0.312,Lesley’s Apple Watch
2023-09-12 08:14:00,0.273,Lesley’s Apple Watch
2023-09-12 08:15:00,0.282,Lesley’s Apple Watch
2023-09-12 08:16:00,0.336,Lesley’s Apple Watch
2023-09-12 08:18:00,0.092,Lesley’s Apple Watch
2023-09-12 08:20:00,0.036,Lesley’s Apple Watch
2023-09-12 08:21:00,0.107,Lesley’s Apple Watch
2023-09-12 08:22:00,0.043,Lesley’s Apple Watch
2023-09-12 08:23:00,0.552,Lesley’s Apple Watch
2023-09-12 08:24:00,0.8,Lesley’s Apple Watch
2023-09-12 08:26:00,0.233,Lesley’s Apple Watch
2023-09-12 08:27:00,0.197,Lesley’s Apple Watch
2023-09-12 08:29:00,0.009,Lesley’s Apple Watch
